date,lottery_number
5/16/2010,12
5/2/2010,6
4/16/2010,96
4/1/2010,22
3/16/2010,97
3/1/2010,97
2/16/2010,3
2/1/2010,14
1/16/2010,67
12/30/2009,87
12/16/2009,5
12/1/2009,59
11/16/2009,58
11/1/2009,85
10/16/2009,0
10/1/2009,6
9/16/2009,48
9/1/2009,32
8/16/2009,96
8/1/2009,92
7/16/2009,94
7/1/2009,66
6/16/2009,15
6/1/2009,26
5/16/2009,54
5/2/2009,11
4/16/2009,33
4/1/2009,50
3/16/2009,36
3/1/2009,67
2/16/2009,93
2/1/2009,69
1/16/2009,25
12/30/2008,22
12/16/2008,25
12/1/2008,5
11/16/2008,20
11/1/2008,76
10/16/2008,98
10/1/2008,67
9/16/2008,56
9/1/2008,9
8/16/2008,36
8/1/2008,11
7/16/2008,41
7/1/2008,50
6/16/2008,75
6/1/2008,35
5/16/2008,69
5/2/2008,62
4/16/2008,64
4/1/2008,71
3/16/2008,33
3/1/2008,5
2/16/2008,80
2/1/2008,26
1/16/2008,81
12/30/2007,81
12/16/2007,96
12/1/2007,18
11/16/2007,73
11/1/2007,88
10/16/2007,48
10/1/2007,76
9/16/2007,45
9/1/2007,69
8/16/2007,93
8/1/2007,29
7/16/2007,77
7/1/2007,76
6/16/2007,41
6/1/2007,5
5/16/2007,25
5/2/2007,81
4/16/2007,63
4/1/2007,93
3/16/2007,85
3/1/2007,61
2/16/2007,95
2/1/2007,56
1/16/2007,55
12/30/2006,7
12/16/2006,45
12/1/2006,12
11/16/2006,94
11/1/2006,29
10/16/2006,58
10/1/2006,92
9/16/2006,41
9/1/2006,44
8/16/2006,91
8/1/2006,88
7/16/2006,48
7/1/2006,65
6/16/2006,17
6/1/2006,99
5/16/2006,71
5/2/2006,27
4/16/2006,49
4/1/2006,95
3/16/2006,30
3/1/2006,43
2/16/2006,66
2/1/2006,87
1/16/2006,79
12/30/2005,94
12/16/2005,86
12/1/2005,17
11/16/2005,80
11/1/2005,98
10/16/2005,71
10/1/2005,24
9/16/2005,10
9/1/2005,17
8/16/2005,68
8/1/2005,26
7/16/2005,13
7/1/2005,87
6/16/2005,44
6/1/2005,35
5/16/2005,97
5/2/2005,43
4/16/2005,10
4/1/2005,69
3/16/2005,3
3/1/2005,93
2/16/2005,53
2/1/2005,34
1/16/2005,8
12/30/2004,28
12/16/2004,17
12/1/2004,69
11/16/2004,64
11/1/2004,23
10/16/2004,62
10/1/2004,66
9/16/2004,59
9/1/2004,70
8/16/2004,59
8/2/2004,45
7/16/2004,25
7/1/2004,66
6/16/2004,87
6/1/2004,72
5/16/2004,13
5/2/2004,91
4/16/2004,12
4/1/2004,62
3/16/2004,69
3/1/2004,50
2/16/2004,0
2/1/2004,77
1/16/2004,96
12/30/2003,64
12/16/2003,87
12/1/2003,78
11/16/2003,68
11/1/2003,47
10/16/2003,3
10/1/2003,43
9/16/2003,53
9/1/2003,92
8/16/2003,0
8/1/2003,91
7/16/2003,75
7/1/2003,91
6/16/2003,29
6/1/2003,36
5/16/2003,20
5/2/2003,12
4/16/2003,21
4/1/2003,86
3/16/2003,64
3/1/2003,42
2/17/2003,61
2/1/2003,94
1/16/2003,6
12/30/2002,95
12/16/2002,67
12/1/2002,37
11/16/2002,55
11/1/2002,25
10/16/2002,51
10/1/2002,72
9/16/2002,85
9/1/2002,51
8/16/2002,57
8/1/2002,88
7/16/2002,69
7/1/2002,24
6/16/2002,7
6/1/2002,2
5/16/2002,76
5/2/2002,56
4/16/2002,37
4/1/2002,57
3/16/2002,4
3/1/2002,55
2/16/2002,92
2/1/2002,40
1/16/2002,14
12/30/2001,64
12/16/2001,19
12/1/2001,49
11/16/2001,74
11/1/2001,52
10/16/2001,48
10/1/2001,15
9/16/2001,82
9/1/2001,14
8/16/2001,10
8/1/2001,11
7/16/2001,50
7/1/2001,34
6/16/2001,75
6/1/2001,80
5/16/2001,61
5/2/2001,64
4/16/2001,28
4/1/2001,49
3/16/2001,45
3/1/2001,85
2/16/2001,47
2/1/2001,13
1/16/2001,36
12/30/2000,31
12/16/2000,91
12/1/2000,56
11/16/2000,10
11/1/2000,90
10/16/2000,39
10/1/2000,26
9/16/2000,5
9/1/2000,52
8/16/2000,57
8/1/2000,18
7/16/2000,43
7/1/2000,29
6/16/2000,57
6/1/2000,16
5/16/2000,56
5/2/2000,20
4/16/2000,63
4/1/2000,99
3/16/2000,65
3/1/2000,63
2/16/2000,91
2/1/2000,85
1/16/2000,82
12/30/1999,3
12/16/1999,30
12/1/1999,79
11/16/1999,14
11/1/1999,3
10/16/1999,28
10/1/1999,80
9/16/1999,46
9/1/1999,33
8/16/1999,65
8/1/1999,98
7/16/1999,3
7/1/1999,67
6/16/1999,63
6/1/1999,8
5/16/1999,16
5/2/1999,45
4/16/1999,35
4/1/1999,92
3/16/1999,63
3/2/1999,58
2/16/1999,41
2/1/1999,69
1/16/1999,13
12/30/1998,50
12/16/1998,55
12/1/1998,58
11/16/1998,20
11/1/1998,29
10/16/1998,74
10/1/1998,18
9/16/1998,65
9/1/1998,96
8/16/1998,91
8/1/1998,22
