date,lottery_number,prime_minister
7/16/2015,49,Prayut
7/1/2015,26,Prayut
6/16/2015,5,Prayut
6/2/2015,65,Prayut
5/16/2015,38,Prayut
5/2/2015,30,Prayut
4/16/2015,38,Prayut
4/1/2015,70,Prayut
3/16/2015,92,Prayut
3/1/2015,34,Prayut
2/16/2015,90,Prayut
2/1/2015,79,Prayut
1/16/2015,74,Prayut
12/30/2014,57,Prayut
12/16/2014,90,Prayut
12/1/2014,11,Prayut
11/16/2014,25,Prayut
11/1/2014,44,Prayut
10/16/2014,94,Prayut
10/1/2014,44,Prayut
9/16/2014,35,Prayut
9/1/2014,22,Prayut
8/16/2014,91,Prayut
8/1/2014,82,Prayut
7/16/2014,45,Prayut
7/1/2014,39,Prayut
6/16/2014,95,Prayut
6/1/2014,18,Prayut
5/16/2014,20,Yingluck
5/2/2014,52,Yingluck
4/16/2014,26,Yingluck
4/1/2014,95,Yingluck
3/16/2014,79,Yingluck
3/1/2014,35,Yingluck
2/16/2014,1,Yingluck
2/1/2014,95,Yingluck
1/16/2014,52,Yingluck
12/30/2013,48,Yingluck
12/16/2013,79,Yingluck
12/1/2013,27,Yingluck
11/16/2013,28,Yingluck
11/1/2013,47,Yingluck
10/16/2013,60,Yingluck
10/1/2013,14,Yingluck
9/16/2013,63,Yingluck
9/1/2013,5,Yingluck
8/16/2013,20,Yingluck
8/1/2013,82,Yingluck
7/16/2013,86,Yingluck
7/1/2013,51,Yingluck
6/16/2013,69,Yingluck
6/1/2013,90,Yingluck
5/16/2013,56,Yingluck
5/2/2013,7,Yingluck
4/16/2013,86,Yingluck
4/1/2013,53,Yingluck
3/16/2013,52,Yingluck
3/1/2013,37,Yingluck
2/16/2013,9,Yingluck
2/1/2013,66,Yingluck
1/16/2013,8,Yingluck
12/30/2012,0,Yingluck
12/16/2012,72,Yingluck
12/1/2012,43,Yingluck
11/16/2012,15,Yingluck
11/1/2012,63,Yingluck
10/16/2012,28,Yingluck
10/1/2012,58,Yingluck
9/16/2012,79,Yingluck
9/1/2012,7,Yingluck
8/16/2012,28,Yingluck
8/1/2012,50,Yingluck
7/16/2012,11,Yingluck
7/1/2012,60,Yingluck
6/16/2012,51,Yingluck
6/1/2012,38,Yingluck
5/16/2012,31,Yingluck
5/2/2012,29,Yingluck
4/16/2012,62,Yingluck
4/1/2012,69,Yingluck
3/16/2012,8,Yingluck
3/1/2012,79,Yingluck
2/16/2012,18,Yingluck
2/1/2012,32,Yingluck
1/16/2012,81,Yingluck
12/30/2011,65,Yingluck
12/16/2011,21,Yingluck
12/1/2011,2,Yingluck
11/16/2011,57,Yingluck
11/1/2011,54,Yingluck
10/16/2011,83,Yingluck
10/1/2011,15,Yingluck
9/16/2011,28,Yingluck
9/1/2011,85,Yingluck
8/16/2011,62,Yingluck
