model_name
Attesta DR MRI SureScan
Charisma X4 CRT-D
Compia MRI Quad CRT-D SureScan
Confirm Rx DM3500
Ecuro SR
Ellipse VR
Enitra 6 DR-T
Enitra 8 HF-T QP
Ensura DR MRI SureScan
Enticos 4 DR
Enticos 4 SR
Etrinsa 8 HF-T
Ilivia 7 HF-T QP
Ilivia 7 VR-T
Inogen EL ICD VR
Mirro MRI VR SureScan
Origen Mini ICD
Other
Q20 SR MRI SureScan
Quadra Allure MP
Quadra Assura
Reveal LINQ
Reveal XT
Rivacor 5 VR-T DX
Rivacor 7 HF-T QP
SJM Confirm
Serena Quad CRT-P MRI ScureScan
Valitude X4 CRT-P
