Model,MAE,RMSE,MSE,R2,Predicted Number
Model1,41.151641845703125,49.20783361083756,2421.410888671875,-2.197418212890625,12
Model2,28.147654164005335,33.499536098003425,1122.2189187814345,-0.34632044710170473,58
Model3,0.25806056304352093,0.296542972194351,0.08793773435785963,-0.03399042500558713,62
Model4,0.2559769735806685,0.29738188880275496,0.08843598778789412,-0.07984133280483352,95
Model5,0.23411733871528012,0.2712960750564315,0.07360156034102491,0.10129338741838145,99
